iter	Logloss
0	0.6616526803
1	0.6320776225
2	0.6086948848
3	0.5896580902
4	0.5717524928
5	0.5575848175
6	0.5436267855
7	0.5341549329
8	0.5242715634
9	0.5163962139
10	0.5079317853
11	0.5001626195
12	0.4937269181
13	0.4874031688
14	0.482569808
15	0.477882515
16	0.4738790795
17	0.4699788681
18	0.4664253207
19	0.4637545536
20	0.4609938237
21	0.4580137213
22	0.4563818327
23	0.4540318524
24	0.4521524192
25	0.4501890349
26	0.4486548238
27	0.4472533984
28	0.4455707352
29	0.4438874362
30	0.4430959903
31	0.4421895645
32	0.4408550934
33	0.4399741881
34	0.4392951569
35	0.4385307518
36	0.4376098232
37	0.4365112927
38	0.4356364449
39	0.4348551789
40	0.4343123402
41	0.4335081452
42	0.4328311658
43	0.4320691326
44	0.4315348626
45	0.4309764334
46	0.4303569662
47	0.4297972055
48	0.4293411881
49	0.4288897863
50	0.4283496962
51	0.4280436441
52	0.4276195085
53	0.427291391
54	0.4270054517
55	0.4266681364
56	0.4260683773
57	0.425664919
58	0.4253639254
59	0.4250373158
60	0.4248013257
61	0.4243348748
62	0.4237420153
63	0.4234313272
64	0.4231419232
65	0.4228256726
66	0.4223424466
67	0.4219466104
68	0.4217677176
69	0.4214281297
70	0.4210737224
71	0.4207940612
72	0.4202753165
73	0.4200415024
74	0.4199421604
75	0.4199101053
76	0.4196973907
77	0.4194158746
78	0.4191594507
79	0.4187814157
80	0.4185422724
81	0.4183661915
82	0.4181435413
83	0.4179933373
84	0.4176269109
85	0.4169606207
86	0.4167765893
87	0.4165998894
88	0.4163220507
89	0.4159488462
90	0.4157605236
91	0.4154900278
92	0.4153968015
93	0.4151232781
94	0.4149866314
95	0.4145263633
96	0.4142328366
97	0.4140688159
98	0.4138798209
99	0.4137522722
