iter	Passed	Remaining
0	7	719
1	14	698
2	20	666
3	26	639
4	32	616
5	38	600
6	44	592
7	57	657
8	78	798
9	90	814
10	103	836
11	115	848
12	128	858
13	137	842
14	145	824
15	153	804
16	166	811
17	174	794
18	180	771
19	187	748
20	193	727
21	199	706
22	204	686
23	211	668
24	216	650
25	230	656
26	244	660
27	256	659
28	269	659
29	282	658
30	295	657
31	309	657
32	316	643
33	326	634
34	334	620
35	342	608
36	348	593
37	354	578
38	360	563
39	365	548
40	372	535
41	377	521
42	384	509
43	390	496
44	396	485
45	411	482
46	444	500
47	469	509
48	488	508
49	500	500
50	508	488
51	513	474
52	519	460
53	525	447
54	530	434
55	536	421
56	542	409
57	557	403
58	570	396
59	582	388
60	593	379
61	606	371
62	619	363
63	631	355
64	640	344
65	652	336
66	663	326
67	670	315
68	678	304
69	686	294
70	694	283
71	701	272
72	706	261
73	712	250
74	718	239
75	721	227
76	727	217
77	733	206
78	738	196
79	744	186
80	750	176
81	757	166
82	769	157
83	780	148
84	793	140
85	806	131
86	818	122
87	830	113
88	843	104
89	850	94
90	860	85
91	867	75
92	875	65
93	881	56
94	889	46
95	897	37
96	903	27
97	909	18
98	915	9
99	920	0
